measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Lithuania,Both,All ages,All causes,Rate,2019,39210.54992278204,45193.854598220634,33613.56432724399
DALYs (Disability-Adjusted Life Years),Senegal,Both,All ages,All causes,Rate,2019,36168.85282473021,41996.97146466665,31490.37628344224
DALYs (Disability-Adjusted Life Years),Qatar,Both,All ages,All causes,Rate,2019,15705.903230687469,18805.98777054998,12893.520084031006
DALYs (Disability-Adjusted Life Years),Pakistan,Both,All ages,All causes,Rate,2019,42059.12763235607,47160.75724640954,37424.97564214668
DALYs (Disability-Adjusted Life Years),Rwanda,Both,All ages,All causes,Rate,2019,33855.54986133143,39547.36794905827,29263.19055188761
DALYs (Disability-Adjusted Life Years),Solomon Islands,Both,All ages,All causes,Rate,2019,47170.51615470293,54843.3095844307,40678.023307405245
DALYs (Disability-Adjusted Life Years),Latvia,Both,All ages,All causes,Rate,2019,40152.5266362519,46288.547377019255,34868.50873741164
DALYs (Disability-Adjusted Life Years),Mozambique,Both,All ages,All causes,Rate,2019,58149.05838384787,66345.80373913707,50873.014202440536
DALYs (Disability-Adjusted Life Years),Iraq,Both,All ages,All causes,Rate,2019,24440.380532822473,28610.522375118697,20689.661677661636
DALYs (Disability-Adjusted Life Years),Serbia,Both,All ages,All causes,Rate,2019,37455.79779814754,43845.08268492983,31596.036376762375
DALYs (Disability-Adjusted Life Years),Montenegro,Both,All ages,All causes,Rate,2019,33760.299689855885,38606.54305422081,29209.047432194646
DALYs (Disability-Adjusted Life Years),Slovakia,Both,All ages,All causes,Rate,2019,32390.423415096553,38178.85208516809,26975.788530269067
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,All causes,Rate,2019,29602.624063370113,35735.208966215134,24205.957417547652
DALYs (Disability-Adjusted Life Years),Tonga,Both,All ages,All causes,Rate,2019,26623.338958025273,31638.362629152634,22255.40330361021
DALYs (Disability-Adjusted Life Years),Poland,Both,All ages,All causes,Rate,2019,32929.92159383582,38182.98538380464,28349.918578380522
DALYs (Disability-Adjusted Life Years),Chile,Both,All ages,All causes,Rate,2019,24820.601622965984,28369.43042212692,21754.438484374532
DALYs (Disability-Adjusted Life Years),United Kingdom,Both,All ages,All causes,Rate,2019,29324.844083060507,33529.254227630336,25648.196667771404
DALYs (Disability-Adjusted Life Years),Cook Islands,Both,All ages,All causes,Rate,2019,32492.948998786214,37554.09529800618,28099.22597631847
DALYs (Disability-Adjusted Life Years),Tunisia,Both,All ages,All causes,Rate,2019,24812.82634064868,29825.232041922773,20568.139113234403
DALYs (Disability-Adjusted Life Years),Nepal,Both,All ages,All causes,Rate,2019,30538.447819637164,34963.83621512708,26613.058229954728
DALYs (Disability-Adjusted Life Years),Greece,Both,All ages,All causes,Rate,2019,32727.2443554422,36889.162223153864,29120.698031799267
DALYs (Disability-Adjusted Life Years),Vanuatu,Both,All ages,All causes,Rate,2019,36574.47894225978,43667.764381096444,30584.034302885048
DALYs (Disability-Adjusted Life Years),India,Both,All ages,All causes,Rate,2019,33643.01325148868,37885.22091525287,29907.471124090294
DALYs (Disability-Adjusted Life Years),Dominica,Both,All ages,All causes,Rate,2019,36494.11394693778,42780.63140826843,30898.406387007828
DALYs (Disability-Adjusted Life Years),Saint Kitts and Nevis,Both,All ages,All causes,Rate,2019,34189.67457752991,39053.33800176967,30038.80923469056
DALYs (Disability-Adjusted Life Years),Germany,Both,All ages,All causes,Rate,2019,32162.204961471012,36311.02517155189,28348.987521091985
DALYs (Disability-Adjusted Life Years),Cuba,Both,All ages,All causes,Rate,2019,30646.72204266518,35704.83776334582,26037.64106489631
DALYs (Disability-Adjusted Life Years),Czechia,Both,All ages,All causes,Rate,2019,32465.292241679927,37796.25633840491,27617.86077008249
DALYs (Disability-Adjusted Life Years),Jordan,Both,All ages,All causes,Rate,2019,18386.875361762075,21722.43758166862,15520.417852792412
DALYs (Disability-Adjusted Life Years),Egypt,Both,All ages,All causes,Rate,2019,26619.17739160085,31890.14051385779,22018.58965337022
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,All ages,All causes,Rate,2019,26782.9398819156,31000.28841462339,22840.586922248407
DALYs (Disability-Adjusted Life Years),Dominican Republic,Both,All ages,All causes,Rate,2019,30411.763427293565,36622.06527135383,25046.928830801262
DALYs (Disability-Adjusted Life Years),Republic of Moldova,Both,All ages,All causes,Rate,2019,37030.07469171604,41696.16624016634,32749.721834657514
DALYs (Disability-Adjusted Life Years),Syrian Arab Republic,Both,All ages,All causes,Rate,2019,27088.583478970173,32531.42758760792,22484.49171224944
DALYs (Disability-Adjusted Life Years),Canada,Both,All ages,All causes,Rate,2019,27335.93304613648,31173.340943394353,23882.52971581713
DALYs (Disability-Adjusted Life Years),United States of America,Both,All ages,All causes,Rate,2019,33866.36350004131,38307.267366093445,29835.11429869171
DALYs (Disability-Adjusted Life Years),Gabon,Both,All ages,All causes,Rate,2019,35605.52972369661,41580.27863228867,30607.4459492419
DALYs (Disability-Adjusted Life Years),Portugal,Both,All ages,All causes,Rate,2019,31349.008403410662,35545.44909724741,27577.174693461166
DALYs (Disability-Adjusted Life Years),Trinidad and Tobago,Both,All ages,All causes,Rate,2019,33253.913144962935,40209.674411433414,27015.172439053036
DALYs (Disability-Adjusted Life Years),Turkey,Both,All ages,All causes,Rate,2019,24126.5466856819,28080.760427339497,20448.045901966656
DALYs (Disability-Adjusted Life Years),United States Virgin Islands,Both,All ages,All causes,Rate,2019,39290.655395369846,44456.48291116613,34206.495857740134
DALYs (Disability-Adjusted Life Years),China,Both,All ages,All causes,Rate,2019,26871.406816639814,30500.567473955598,23363.23692708046
DALYs (Disability-Adjusted Life Years),Romania,Both,All ages,All causes,Rate,2019,38735.190811733104,44470.98942272367,33299.40753132292
DALYs (Disability-Adjusted Life Years),Saudi Arabia,Both,All ages,All causes,Rate,2019,23316.231420351472,27656.46699133041,19516.466420799297
DALYs (Disability-Adjusted Life Years),Netherlands,Both,All ages,All causes,Rate,2019,27979.59773253031,31801.99492180695,24567.1654497441
DALYs (Disability-Adjusted Life Years),Belarus,Both,All ages,All causes,Rate,2019,39372.144765634046,46817.63562897278,32778.22860045781
DALYs (Disability-Adjusted Life Years),Denmark,Both,All ages,All causes,Rate,2019,29319.882801380143,33306.90712321805,25807.4983361559
DALYs (Disability-Adjusted Life Years),Kiribati,Both,All ages,All causes,Rate,2019,47973.74159371486,55877.76012005322,40798.81280729874
DALYs (Disability-Adjusted Life Years),Djibouti,Both,All ages,All causes,Rate,2019,38780.71403509696,46942.09140291898,32107.21010866319
DALYs (Disability-Adjusted Life Years),Sierra Leone,Both,All ages,All causes,Rate,2019,57221.11722419907,68098.1540813498,47866.72239585597
DALYs (Disability-Adjusted Life Years),Uruguay,Both,All ages,All causes,Rate,2019,30883.9573231518,34602.632853293406,27690.294612061094
DALYs (Disability-Adjusted Life Years),Ghana,Both,All ages,All causes,Rate,2019,38957.91763605982,44610.442489210436,33651.164696153144
DALYs (Disability-Adjusted Life Years),Nicaragua,Both,All ages,All causes,Rate,2019,22322.699628798735,26007.998817112322,19008.74734442213
DALYs (Disability-Adjusted Life Years),Luxembourg,Both,All ages,All causes,Rate,2019,24610.98163870721,28723.048063618,20994.24687671767
DALYs (Disability-Adjusted Life Years),El Salvador,Both,All ages,All causes,Rate,2019,28077.3619664361,33616.71009858353,23073.65698484452
DALYs (Disability-Adjusted Life Years),Liberia,Both,All ages,All causes,Rate,2019,41250.56384098569,48560.3532132454,35288.932613290905
DALYs (Disability-Adjusted Life Years),Brazil,Both,All ages,All causes,Rate,2019,30188.772541847447,33761.57877985136,26977.502907679373
DALYs (Disability-Adjusted Life Years),Philippines,Both,All ages,All causes,Rate,2019,29157.578479319378,33066.711126064714,25587.054062264036
DALYs (Disability-Adjusted Life Years),Grenada,Both,All ages,All causes,Rate,2019,31413.82453685779,35101.95303077538,27890.267779755402
DALYs (Disability-Adjusted Life Years),Singapore,Both,All ages,All causes,Rate,2019,18487.469931408934,21753.49240582934,15716.05213300867
DALYs (Disability-Adjusted Life Years),Cambodia,Both,All ages,All causes,Rate,2019,32344.44125219496,37306.08384148707,27868.178776143144
DALYs (Disability-Adjusted Life Years),San Marino,Both,All ages,All causes,Rate,2019,27607.172825055353,34610.0871661931,21478.45265670499
DALYs (Disability-Adjusted Life Years),Seychelles,Both,All ages,All causes,Rate,2019,31218.679933641102,34991.60468066067,27702.07243044329
DALYs (Disability-Adjusted Life Years),Albania,Both,All ages,All causes,Rate,2019,28147.64782012117,33494.06978987129,23292.941685326292
DALYs (Disability-Adjusted Life Years),Paraguay,Both,All ages,All causes,Rate,2019,24510.447744774323,29470.180774183635,20162.5937769317
DALYs (Disability-Adjusted Life Years),Guinea,Both,All ages,All causes,Rate,2019,59102.57406226432,70788.99241644204,49080.68943828582
DALYs (Disability-Adjusted Life Years),Morocco,Both,All ages,All causes,Rate,2019,28119.18530814368,33000.69209056158,23843.565249924242
DALYs (Disability-Adjusted Life Years),Mali,Both,All ages,All causes,Rate,2019,67743.53461997754,81978.42358565831,56167.97169886931
DALYs (Disability-Adjusted Life Years),Spain,Both,All ages,All causes,Rate,2019,27491.885242254015,31534.42937551936,23997.237666701167
DALYs (Disability-Adjusted Life Years),Burundi,Both,All ages,All causes,Rate,2019,47703.51199885331,56974.097415007775,39665.01826830597
DALYs (Disability-Adjusted Life Years),Eritrea,Both,All ages,All causes,Rate,2019,40196.854657416334,50654.049632139875,32166.999676441326
DALYs (Disability-Adjusted Life Years),Argentina,Both,All ages,All causes,Rate,2019,27898.270070915216,31213.707868939506,24987.449302132973
DALYs (Disability-Adjusted Life Years),Guatemala,Both,All ages,All causes,Rate,2019,28731.19543693497,34526.15797657994,23717.30331306599
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,All ages,All causes,Rate,2019,30396.232689358538,35415.979020865416,25784.999338076257
DALYs (Disability-Adjusted Life Years),Colombia,Both,All ages,All causes,Rate,2019,24211.684825338947,29017.613527346108,19952.53952024205
DALYs (Disability-Adjusted Life Years),Tokelau,Both,All ages,All causes,Rate,2019,30477.929552801706,36510.781515603354,25374.87917209577
DALYs (Disability-Adjusted Life Years),Bosnia and Herzegovina,Both,All ages,All causes,Rate,2019,34870.086867490936,41028.87876396269,29262.968927767746
DALYs (Disability-Adjusted Life Years),Iceland,Both,All ages,All causes,Rate,2019,22406.543468834483,26059.028382180666,19150.566423633107
DALYs (Disability-Adjusted Life Years),Palestine,Both,All ages,All causes,Rate,2019,20133.27262509057,23289.88255668598,17346.05778420608
DALYs (Disability-Adjusted Life Years),Sri Lanka,Both,All ages,All causes,Rate,2019,26179.601069167726,31515.070710534965,21502.7470290826
DALYs (Disability-Adjusted Life Years),Comoros,Both,All ages,All causes,Rate,2019,36266.72848265475,41560.03111802378,31549.765456673984
DALYs (Disability-Adjusted Life Years),Indonesia,Both,All ages,All causes,Rate,2019,29843.146914807596,33503.88772415294,26379.010899309615
DALYs (Disability-Adjusted Life Years),Sweden,Both,All ages,All causes,Rate,2019,26888.11581525497,30719.932010227087,23451.35700024938
DALYs (Disability-Adjusted Life Years),Ethiopia,Both,All ages,All causes,Rate,2019,35369.381834908185,40419.04949381554,30905.760296304685
DALYs (Disability-Adjusted Life Years),Guinea-Bissau,Both,All ages,All causes,Rate,2019,50119.06361010242,58911.730927891294,42992.18698348076
DALYs (Disability-Adjusted Life Years),Suriname,Both,All ages,All causes,Rate,2019,33898.741456240554,39346.517620450715,29011.84419705071
DALYs (Disability-Adjusted Life Years),United Republic of Tanzania,Both,All ages,All causes,Rate,2019,41046.8107243744,47438.90923552519,35659.86268355551
DALYs (Disability-Adjusted Life Years),Ecuador,Both,All ages,All causes,Rate,2019,24874.91247691025,29220.46183480238,21106.461767266675
DALYs (Disability-Adjusted Life Years),Ireland,Both,All ages,All causes,Rate,2019,24160.29859893892,27972.546170327274,20855.54825951483
DALYs (Disability-Adjusted Life Years),Russian Federation,Both,All ages,All causes,Rate,2019,40771.5667621676,46197.56305705105,36068.52783065023
DALYs (Disability-Adjusted Life Years),Antigua and Barbuda,Both,All ages,All causes,Rate,2019,27391.089023171695,31644.579224318164,23731.410829337918
DALYs (Disability-Adjusted Life Years),Somalia,Both,All ages,All causes,Rate,2019,64069.98240885577,79356.92031232771,52545.04703273123
DALYs (Disability-Adjusted Life Years),Honduras,Both,All ages,All causes,Rate,2019,26056.54222308456,30976.955474845425,21928.596896825296
DALYs (Disability-Adjusted Life Years),Democratic Republic of the Congo,Both,All ages,All causes,Rate,2019,42776.56372095885,49213.87896572175,37197.41771616438
DALYs (Disability-Adjusted Life Years),Switzerland,Both,All ages,All causes,Rate,2019,25581.33716733933,29558.055734835936,22030.13503010566
DALYs (Disability-Adjusted Life Years),Monaco,Both,All ages,All causes,Rate,2019,36491.56877551866,42289.30226136956,30914.454277159013
DALYs (Disability-Adjusted Life Years),Zimbabwe,Both,All ages,All causes,Rate,2019,47938.1030094036,54724.749061406874,42090.654743466905
DALYs (Disability-Adjusted Life Years),Tuvalu,Both,All ages,All causes,Rate,2019,36949.34245752728,45087.51976657711,30287.163680910646
DALYs (Disability-Adjusted Life Years),Uganda,Both,All ages,All causes,Rate,2019,41512.76262066632,47543.80557946884,36093.6883581271
DALYs (Disability-Adjusted Life Years),Peru,Both,All ages,All causes,Rate,2019,22085.026652643573,26624.881171984656,17980.240242890173
DALYs (Disability-Adjusted Life Years),Tajikistan,Both,All ages,All causes,Rate,2019,28280.640436696776,32893.730885971825,24314.558237322235
DALYs (Disability-Adjusted Life Years),Ukraine,Both,All ages,All causes,Rate,2019,48968.1584722761,55980.085483125375,42961.79160154691
DALYs (Disability-Adjusted Life Years),Thailand,Both,All ages,All causes,Rate,2019,29337.905240304928,35006.09291458884,24236.570048472942
DALYs (Disability-Adjusted Life Years),Lao People's Democratic Republic,Both,All ages,All causes,Rate,2019,33176.0123942987,39118.628606446095,27685.49958033239
DALYs (Disability-Adjusted Life Years),Israel,Both,All ages,All causes,Rate,2019,19702.172842911532,22885.303342271494,16921.095683214036
DALYs (Disability-Adjusted Life Years),Gambia,Both,All ages,All causes,Rate,2019,35499.129189220155,41292.31179062283,30662.037141757737
DALYs (Disability-Adjusted Life Years),Austria,Both,All ages,All causes,Rate,2019,28400.018650312762,32441.2449757455,24792.73781727649
DALYs (Disability-Adjusted Life Years),American Samoa,Both,All ages,All causes,Rate,2019,29767.640051654187,34736.21444489531,25447.044044211852
DALYs (Disability-Adjusted Life Years),Burkina Faso,Both,All ages,All causes,Rate,2019,63322.76839811815,74499.81071624567,54469.78964069189
DALYs (Disability-Adjusted Life Years),Bahamas,Both,All ages,All causes,Rate,2019,32291.65582968822,37678.51287699581,27602.400049974003
DALYs (Disability-Adjusted Life Years),Zambia,Both,All ages,All causes,Rate,2019,43852.96483821058,50802.87450051089,37948.1870929977
